Category: All categories

Region,depression: (2020)
Maine,100
Utah,99
Ohio,97
Connecticut,97
Arkansas,96
Michigan,95
Kentucky,94
Oklahoma,94
Missouri,94
Indiana,93
Alabama,92
North Carolina,92
New Mexico,92
Maryland,91
Mississippi,91
Iowa,91
Massachusetts,90
West Virginia,90
New Hampshire,90
Vermont,90
Kansas,90
Tennessee,90
Pennsylvania,89
Minnesota,89
Hawaii,89
Idaho,89
Illinois,89
New Jersey,88
Virginia,88
Louisiana,88
California,88
Texas,87
Wisconsin,87
Rhode Island,87
Nebraska,87
Oregon,87
Washington,86
Wyoming,86
Colorado,86
Georgia,86
Arizona,85
Delaware,85
Alaska,84
Nevada,84
New York,84
South Carolina,84
South Dakota,83
Florida,83
North Dakota,82
Montana,79
District of Columbia,67
