Category: All categories

Region,depression: (2012)
South Dakota,100
West Virginia,100
Vermont,99
Iowa,97
Wyoming,96
Indiana,94
Wisconsin,93
Kansas,92
New Jersey,91
Kentucky,90
Montana,89
Pennsylvania,89
Maine,89
North Dakota,88
Michigan,88
Utah,87
Idaho,86
Connecticut,86
Rhode Island,85
Alaska,84
South Carolina,84
Maryland,84
Delaware,84
Arkansas,83
Ohio,83
Massachusetts,83
Virginia,82
New Hampshire,82
Tennessee,82
Washington,81
Alabama,80
Missouri,79
New Mexico,79
Oklahoma,79
Minnesota,79
Georgia,78
Arizona,78
Oregon,77
Illinois,77
Mississippi,77
Colorado,76
Nebraska,76
California,76
North Carolina,75
Louisiana,74
Florida,74
Texas,73
New York,68
Hawaii,66
District of Columbia,65
Nevada,64
