Category: All categories

Region,depression: (2016)
West Virginia,100
Indiana,92
Minnesota,92
New Hampshire,90
Wyoming,89
Iowa,89
Wisconsin,88
South Dakota,88
Ohio,88
Pennsylvania,88
Utah,87
Idaho,87
Mississippi,87
Connecticut,86
Alabama,86
Massachusetts,85
Kentucky,85
Vermont,85
Kansas,84
Michigan,84
Missouri,84
Maine,84
North Dakota,83
Montana,82
Arkansas,82
Tennessee,82
Virginia,81
New Jersey,81
North Carolina,81
Nebraska,80
Oregon,80
New Mexico,80
Illinois,80
Rhode Island,79
South Carolina,79
California,78
Oklahoma,78
New York,78
Georgia,78
Arizona,77
Louisiana,77
Washington,76
Maryland,75
Alaska,75
Delaware,74
Colorado,73
Florida,72
Texas,70
Nevada,67
District of Columbia,67
Hawaii,62
