Category: All categories

Region,depression: (2007)
Wyoming,100
West Virginia,89
Vermont,89
North Dakota,80
Iowa,80
South Dakota,78
Maine,78
Delaware,78
Michigan,73
Montana,71
New Hampshire,71
Indiana,71
Ohio,70
Nebraska,69
Pennsylvania,69
Alabama,69
Idaho,68
Kansas,68
Arkansas,68
Kentucky,67
Massachusetts,66
Utah,66
South Carolina,65
New Jersey,65
Illinois,65
Connecticut,65
Mississippi,64
North Carolina,63
Wisconsin,63
New Mexico,63
Minnesota,62
Tennessee,62
Missouri,62
Alaska,61
Louisiana,61
New York,61
Rhode Island,61
Virginia,60
Oregon,58
Washington,58
Maryland,57
Oklahoma,56
Georgia,55
Hawaii,55
Texas,55
Colorado,54
California,52
Arizona,50
Florida,48
Nevada,48
District of Columbia,46
