Category: All categories

Region,depression: (2006)
North Dakota,100
Iowa,89
Wyoming,86
Nebraska,81
Maine,80
Montana,80
West Virginia,79
Idaho,79
Vermont,78
Indiana,75
Mississippi,75
Arkansas,74
New Mexico,73
Kentucky,72
New Hampshire,72
Connecticut,70
Ohio,69
Michigan,69
Rhode Island,69
Tennessee,68
Pennsylvania,67
Wisconsin,67
Alaska,67
South Dakota,66
Utah,64
Massachusetts,64
Alabama,64
South Carolina,64
Kansas,64
Missouri,64
Illinois,63
Louisiana,63
Delaware,62
Minnesota,62
New Jersey,61
New York,61
Oregon,60
Maryland,60
Hawaii,60
North Carolina,59
California,58
Oklahoma,58
Colorado,58
Texas,55
Washington,55
Virginia,54
Georgia,54
Nevada,53
District of Columbia,52
Arizona,51
Florida,47
