Category: All categories

Region,depression: (2009)
West Virginia,100
Delaware,93
Wyoming,91
North Dakota,90
Montana,90
Iowa,88
Maine,88
Nebraska,83
Michigan,83
Pennsylvania,83
South Dakota,81
Vermont,79
Minnesota,79
Indiana,78
New Mexico,78
Wisconsin,78
Idaho,78
Rhode Island,78
Mississippi,77
Arkansas,77
Ohio,77
New Hampshire,74
Kansas,74
Utah,74
New York,74
Missouri,73
Illinois,73
Kentucky,73
South Carolina,72
Massachusetts,72
Connecticut,72
New Jersey,72
North Carolina,72
Colorado,71
Georgia,70
Alabama,69
Washington,69
Arizona,69
Oregon,68
Louisiana,67
Texas,67
Maryland,67
District of Columbia,66
Tennessee,66
Oklahoma,65
Hawaii,65
Nevada,63
Alaska,63
Florida,59
California,48
Virginia,38
