Category: All categories

Region,depression: (2015)
Arkansas,100
Indiana,100
Wisconsin,100
Wyoming,98
West Virginia,96
Iowa,96
South Dakota,96
Minnesota,95
Ohio,95
North Dakota,92
Pennsylvania,92
Maine,91
Utah,91
Massachusetts,90
Maryland,89
Kentucky,89
North Carolina,89
Connecticut,89
Mississippi,88
Vermont,88
Alabama,87
Michigan,87
Montana,87
Missouri,86
Tennessee,86
Idaho,84
New Jersey,84
Delaware,84
Nebraska,83
Louisiana,82
Alaska,81
New Hampshire,81
New Mexico,79
Arizona,79
Oklahoma,78
Washington,78
Rhode Island,78
Illinois,78
Colorado,77
Georgia,76
South Carolina,76
New York,76
Kansas,76
Texas,75
California,74
Hawaii,72
Florida,72
Nevada,71
District of Columbia,64
Oregon,61
Virginia,57
