Category: All categories

Region,depression: (2005)
Wyoming,100
South Dakota,97
North Dakota,92
Montana,87
Maine,87
Arkansas,82
Iowa,80
Vermont,79
Kentucky,78
West Virginia,77
Indiana,76
Rhode Island,76
Idaho,75
Mississippi,75
Nebraska,74
Connecticut,73
Wisconsin,73
New Hampshire,71
Kansas,71
Minnesota,70
Utah,70
Oregon,70
Pennsylvania,69
Michigan,69
Alabama,68
Louisiana,67
New York,66
Tennessee,65
Illinois,65
Missouri,65
Colorado,64
Delaware,64
New Mexico,63
Ohio,63
South Carolina,62
North Carolina,62
Maryland,61
Oklahoma,59
Texas,58
Alaska,58
Washington,58
New Jersey,57
Arizona,57
Massachusetts,57
Virginia,55
Hawaii,54
Georgia,53
District of Columbia,53
California,53
Florida,52
Nevada,52
