Category: All categories

Region,depression: (2018)
West Virginia,100
Indiana,97
Arkansas,94
Maine,93
Wisconsin,92
Kansas,92
Kentucky,92
Massachusetts,92
Connecticut,90
Oregon,90
Minnesota,90
Missouri,89
Illinois,89
Utah,89
Pennsylvania,88
Michigan,87
Idaho,87
Alabama,87
Maryland,87
Mississippi,85
South Dakota,85
Ohio,85
Iowa,84
Wyoming,84
North Carolina,84
South Carolina,84
Virginia,83
Vermont,83
New Hampshire,83
Nebraska,82
Arizona,82
Georgia,82
Washington,81
New Mexico,81
California,80
Colorado,79
New Jersey,78
New York,78
Tennessee,78
Oklahoma,77
Louisiana,77
Rhode Island,77
Texas,77
Nevada,76
North Dakota,76
Alaska,75
Montana,74
Hawaii,73
Delaware,71
Florida,71
District of Columbia,60
