Category: All categories

Region,suicide attempt: (2020)
Delaware,100
Connecticut,94
Alaska,
Wyoming,
Utah,85
New Hampshire,80
Idaho,74
Virginia,74
Louisiana,74
Hawaii,74
Mississippi,74
Iowa,74
Maryland,71
Nevada,71
Tennessee,71
Montana,
Maine,71
Rhode Island,71
South Carolina,71
Colorado,68
Vermont,
Ohio,68
Michigan,68
Pennsylvania,68
Massachusetts,68
Kansas,65
New Jersey,65
Minnesota,65
Indiana,65
Kentucky,65
Washington,65
District of Columbia,
Georgia,62
Wisconsin,62
Alabama,62
New Mexico,62
Missouri,60
Oregon,60
Arizona,60
Arkansas,60
North Carolina,60
Texas,57
California,57
North Dakota,
New York,57
Nebraska,54
Oklahoma,54
West Virginia,54
Illinois,51
South Dakota,
Florida,48
