Category: All categories

Region,suicide attempt: (2011)
Wyoming,
North Dakota,
Delaware,100
District of Columbia,
Arkansas,85
Maryland,82
Nevada,82
Maine,80
New Hampshire,77
Massachusetts,77
South Carolina,77
New Mexico,74
Georgia,74
Arizona,71
New York,71
Kansas,71
Virginia,71
Connecticut,68
Indiana,68
Hawaii,68
Wisconsin,68
Louisiana,65
Nebraska,65
Ohio,65
Illinois,62
Florida,62
California,62
North Carolina,62
Minnesota,60
New Jersey,60
Washington,60
Kentucky,57
Colorado,57
Iowa,57
Alabama,54
Michigan,51
Texas,51
Tennessee,51
Pennsylvania,51
Utah,51
Mississippi,51
Oregon,48
Montana,
West Virginia,40
Missouri,37
Oklahoma,37
Rhode Island,28
Idaho,25
Alaska,
South Dakota,
Vermont,
