Category: All categories

Region,suicide attempt: (2014)
Alaska,
Montana,
Massachusetts,100
New Hampshire,96
Pennsylvania,90
Kentucky,90
Oklahoma,87
Colorado,87
District of Columbia,
Connecticut,87
Arizona,87
Ohio,87
Indiana,84
North Dakota,
Tennessee,81
Washington,81
Arkansas,81
Missouri,78
California,78
New Jersey,78
Michigan,78
Alabama,75
North Carolina,75
Nebraska,75
Florida,75
New York,72
Utah,72
Illinois,72
Wisconsin,72
Minnesota,72
Maine,72
Texas,69
New Mexico,69
Wyoming,
South Dakota,
Maryland,66
Iowa,66
South Carolina,66
Nevada,63
Idaho,60
Louisiana,60
Mississippi,60
Oregon,57
Virginia,57
Kansas,57
Georgia,54
Rhode Island,51
Vermont,
Delaware,36
West Virginia,27
Hawaii,21
