Category: All categories

Region,suicide attempt: (2021)
Nebraska,100
Maine,97
Utah,94
Oklahoma,85
New Hampshire,85
South Dakota,
Vermont,
Rhode Island,79
Missouri,76
Washington,73
Minnesota,73
Oregon,70
Tennessee,70
Michigan,70
Maryland,70
Connecticut,70
West Virginia,70
Arkansas,70
Indiana,70
Kentucky,70
Ohio,67
Pennsylvania,67
Nevada,67
Colorado,64
Kansas,64
Montana,
Wisconsin,64
Massachusetts,61
Arizona,61
District of Columbia,
Illinois,61
New Jersey,61
South Carolina,61
North Carolina,61
Alaska,
California,58
Texas,58
Virginia,58
Iowa,58
Georgia,55
Alabama,55
Florida,55
Louisiana,52
Wyoming,
New York,52
Delaware,50
North Dakota,
Mississippi,47
New Mexico,47
Idaho,47
Hawaii,17
