Category: All categories

Region,suicide attempt: (2019)
Nebraska,100
Utah,97
Wyoming,
West Virginia,91
New Hampshire,88
Iowa,85
New Mexico,85
Alabama,82
Maine,82
Oregon,79
Louisiana,79
Washington,79
Indiana,79
Connecticut,79
Virginia,79
Oklahoma,79
Tennessee,76
Hawaii,76
Arkansas,76
New Jersey,76
Missouri,73
Vermont,
Kentucky,73
Massachusetts,73
Wisconsin,73
Pennsylvania,73
Arizona,70
Ohio,70
Illinois,67
California,67
Michigan,64
Minnesota,64
Rhode Island,64
Nevada,64
District of Columbia,
Maryland,64
Texas,61
North Carolina,61
New York,61
South Dakota,
Colorado,58
Georgia,58
Florida,58
Kansas,55
Delaware,55
Idaho,52
North Dakota,
South Carolina,50
Mississippi,47
Montana,
Alaska,
