Category: All categories

Region,suicide attempt: (2005)
Montana,
New Mexico,100
Arizona,55
Iowa,53
Alabama,52
Rhode Island,45
Kentucky,43
Tennessee,38
Maine,34
Oklahoma,33
Hawaii,32
Arkansas,30
Maryland,29
Connecticut,28
Nebraska,22
District of Columbia,
New York,22
Georgia,19
Virginia,19
Nevada,19
Indiana,19
Texas,18
North Carolina,17
Washington,15
Massachusetts,15
Florida,14
Illinois,14
Missouri,13
Ohio,12
Pennsylvania,11
Michigan,11
California,10
Minnesota,5
Alaska,
Colorado,
Delaware,
Idaho,
Kansas,
Louisiana,
Mississippi,
North Dakota,
New Hampshire,
New Jersey,
Oregon,
South Carolina,
South Dakota,
Utah,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
