Category: All categories

Region,Antisocial personality disorder: (2015)
Maine,100
Mississippi,77
New Hampshire,76
Delaware,70
Arkansas,65
Indiana,63
Connecticut,62
West Virginia,61
Utah,58
Rhode Island,56
Ohio,55
South Dakota,54
Minnesota,52
North Dakota,52
Nebraska,52
Alabama,52
Iowa,51
North Carolina,51
Kentucky,50
Wisconsin,49
Maryland,49
Pennsylvania,49
Massachusetts,49
South Carolina,48
Alaska,
Missouri,47
Michigan,44
New Jersey,44
Illinois,44
Idaho,43
Colorado,43
Kansas,42
Georgia,42
Arizona,42
New Mexico,41
Louisiana,41
Florida,40
New York,40
Oregon,38
California,37
Vermont,37
Washington,37
Nevada,37
Oklahoma,35
Tennessee,34
Montana,34
Hawaii,34
District of Columbia,32
Texas,31
Wyoming,
Virginia,28
