Category: All categories

Region,Antisocial personality disorder: (2013)
North Dakota,100
Arkansas,92
Delaware,90
New Mexico,88
Alaska,
Maine,78
Indiana,77
West Virginia,74
Wisconsin,69
Iowa,69
Wyoming,
Pennsylvania,67
Ohio,64
Connecticut,61
Missouri,61
Michigan,61
Minnesota,60
Maryland,60
Nebraska,59
South Dakota,59
Alabama,59
Oklahoma,57
Arizona,56
Massachusetts,56
Hawaii,56
North Carolina,56
Colorado,54
Illinois,54
Kentucky,53
Mississippi,53
Utah,52
Florida,50
New Jersey,50
Kansas,50
South Carolina,49
New Hampshire,49
Montana,47
Virginia,47
Tennessee,46
Washington,46
Georgia,45
Idaho,45
New York,45
Rhode Island,43
Louisiana,42
District of Columbia,40
Texas,40
Nevada,39
California,38
Oregon,30
Vermont,18
