Category: All categories

Region,Antisocial personality disorder: (2005)
South Dakota,100
Rhode Island,98
Vermont,77
Kansas,50
Montana,50
West Virginia,45
Arkansas,44
New Hampshire,39
Iowa,38
Minnesota,36
Nebraska,35
Indiana,32
Missouri,27
Illinois,26
Pennsylvania,23
Kentucky,22
Georgia,21
Florida,20
North Carolina,20
Oklahoma,19
Wisconsin,19
Ohio,19
Michigan,18
Colorado,17
Connecticut,16
Washington,16
Massachusetts,16
Arizona,16
Virginia,16
Texas,15
Tennessee,14
New Jersey,14
Oregon,14
California,13
South Carolina,12
New York,11
Alabama,11
Maryland,6
District of Columbia,5
Alaska,
Delaware,
Hawaii,
Idaho,
Louisiana,
Maine,
Mississippi,
North Dakota,
New Mexico,
Nevada,
Utah,
Wyoming,
