Category: All categories

Region,Antisocial personality disorder: (2007)
Montana,100
Idaho,76
Iowa,69
North Dakota,66
West Virginia,50
Wyoming,
New Hampshire,45
Indiana,43
Mississippi,36
Maryland,34
New Mexico,34
Massachusetts,32
Pennsylvania,31
South Carolina,31
Missouri,31
Kentucky,30
Wisconsin,29
Hawaii,29
Ohio,29
Michigan,27
Rhode Island,26
Washington,24
Florida,23
New Jersey,23
North Carolina,23
Tennessee,23
Arizona,22
Maine,22
New York,21
Minnesota,19
Illinois,18
Louisiana,18
Connecticut,17
California,16
Georgia,16
Oregon,16
Texas,15
Virginia,14
Kansas,13
Arkansas,13
Colorado,13
Oklahoma,9
Alaska,
Alabama,
District of Columbia,
Delaware,
Nebraska,
Nevada,
South Dakota,
Utah,
Vermont,
