Category: All categories

Region,Antisocial personality disorder: (2011)
New Hampshire,100
West Virginia,98
Wyoming,
Vermont,90
Rhode Island,90
Maine,86
Oklahoma,86
Indiana,85
Louisiana,83
Mississippi,81
Missouri,80
Iowa,80
Alaska,
North Dakota,77
Arkansas,75
South Carolina,75
Nevada,75
Kansas,73
Connecticut,73
Utah,73
Wisconsin,72
Ohio,72
Michigan,72
Delaware,72
Maryland,72
Florida,70
New Mexico,70
Tennessee,68
South Dakota,68
Pennsylvania,67
Kentucky,65
Colorado,63
Montana,63
Massachusetts,63
Washington,62
North Carolina,62
Illinois,60
Georgia,57
Idaho,57
Oregon,57
Minnesota,57
Virginia,57
Arizona,55
Texas,55
New Jersey,55
Alabama,54
Nebraska,47
New York,45
California,45
Hawaii,44
District of Columbia,40
