Category: All categories

Region,Antisocial personality disorder: (2017)
Maine,100
Wyoming,
South Dakota,90
Iowa,84
Vermont,83
West Virginia,81
New Mexico,77
Mississippi,77
Indiana,77
New Hampshire,75
Utah,75
Pennsylvania,75
Kansas,73
Minnesota,73
Wisconsin,73
Connecticut,71
Idaho,69
Massachusetts,67
South Carolina,67
North Carolina,66
Delaware,66
Ohio,64
Maryland,64
Missouri,64
Virginia,64
Illinois,64
Kentucky,62
Arkansas,62
Oregon,62
Louisiana,62
North Dakota,60
Colorado,60
Georgia,60
New Jersey,60
Washington,58
Michigan,58
Rhode Island,56
California,54
Tennessee,54
Alabama,52
Nebraska,52
Arizona,52
Alaska,
Florida,49
New York,49
Texas,47
District of Columbia,45
Hawaii,45
Nevada,43
Montana,41
Oklahoma,41
