Category: All categories

Region,Antisocial personality disorder: (2016)
Maine,100
New Mexico,93
West Virginia,91
Connecticut,89
Vermont,87
Indiana,85
Minnesota,85
North Dakota,82
Iowa,80
Alaska,
Kansas,78
North Carolina,76
Mississippi,76
Missouri,74
Virginia,74
Arkansas,74
New Hampshire,74
Pennsylvania,74
Wisconsin,72
Rhode Island,72
Kentucky,72
Utah,70
Ohio,70
Wyoming,
Oklahoma,70
Washington,68
South Carolina,68
South Dakota,68
Montana,65
Michigan,65
Louisiana,65
New Jersey,65
Massachusetts,65
Nebraska,63
Alabama,63
Nevada,63
Maryland,61
Illinois,61
Tennessee,61
District of Columbia,61
Colorado,61
Florida,59
Arizona,57
Idaho,57
Georgia,57
Oregon,53
New York,53
California,53
Delaware,51
Texas,48
Hawaii,36
