Category: All categories

Region,Self harm: (2021)
West Virginia,100
Montana,90
Alaska,90
Oregon,84
Maine,83
Utah,83
Idaho,83
Wyoming,80
Iowa,79
Vermont,77
New Hampshire,77
Indiana,77
Colorado,77
Nebraska,74
Kentucky,74
Minnesota,72
New Mexico,72
Washington,71
Maryland,71
Delaware,70
Oklahoma,70
Kansas,69
Missouri,69
Massachusetts,69
Arizona,69
North Dakota,69
Michigan,66
Arkansas,66
Ohio,65
Wisconsin,64
Pennsylvania,64
Tennessee,63
Virginia,63
Connecticut,62
North Carolina,60
Illinois,59
Nevada,59
South Dakota,58
Rhode Island,58
Hawaii,57
Louisiana,56
California,55
Alabama,53
Georgia,52
Texas,51
New Jersey,51
South Carolina,51
New York,50
District of Columbia,49
Florida,48
Mississippi,45
