Category: All categories

Region,Self harm: (2020)
Maine,100
Alaska,100
Vermont,98
Montana,97
Idaho,92
Utah,89
Oregon,88
Kentucky,87
West Virginia,83
New Hampshire,81
Oklahoma,79
Nebraska,78
Minnesota,78
Indiana,76
Nevada,76
Washington,76
South Dakota,75
Colorado,75
Missouri,74
Delaware,74
New Mexico,73
Kansas,73
Wisconsin,72
North Dakota,71
Arkansas,71
Michigan,70
Pennsylvania,70
Massachusetts,69
Rhode Island,69
Virginia,69
Illinois,68
Maryland,68
Hawaii,68
Ohio,68
Arizona,67
Tennessee,67
Wyoming,67
Connecticut,65
Iowa,65
North Carolina,62
South Carolina,59
Louisiana,58
Alabama,58
Georgia,55
New York,54
California,54
Texas,53
New Jersey,53
Florida,49
Mississippi,43
District of Columbia,32
