Category: All categories

Region,Self harm: (2015)
North Dakota,100
Arkansas,93
Wyoming,91
West Virginia,91
Vermont,85
South Dakota,84
Kentucky,84
Idaho,84
Maine,83
Iowa,78
Indiana,78
Wisconsin,77
Ohio,77
Alaska,75
Montana,74
Missouri,73
Nebraska,73
Utah,72
New Hampshire,72
New Mexico,71
Rhode Island,70
Minnesota,67
Colorado,67
Mississippi,67
South Carolina,66
Pennsylvania,63
Michigan,62
North Carolina,61
Nevada,61
Arizona,61
Tennessee,60
Kansas,60
Delaware,58
Oklahoma,58
Washington,57
Alabama,56
Maryland,56
Illinois,56
New Jersey,53
Georgia,53
Massachusetts,53
Connecticut,52
Louisiana,51
Oregon,48
Texas,46
Florida,44
New York,41
Hawaii,40
California,39
District of Columbia,36
Virginia,33
