Category: All categories

Region,Self harm: (2012)
Delaware,100
Wyoming,97
Maine,89
Vermont,77
New Hampshire,76
Wisconsin,73
Connecticut,67
West Virginia,66
Indiana,64
Idaho,64
Nebraska,61
Pennsylvania,61
North Dakota,61
Kansas,60
New Jersey,59
Utah,57
Michigan,56
South Dakota,55
Kentucky,54
Massachusetts,53
Oklahoma,53
Oregon,52
Virginia,49
Nevada,49
Ohio,48
Iowa,48
Arizona,48
Tennessee,48
Arkansas,48
New Mexico,48
Colorado,47
Illinois,46
Rhode Island,46
Maryland,45
Alaska,45
New York,44
South Carolina,44
North Carolina,44
Alabama,43
Minnesota,42
Missouri,42
Florida,42
Louisiana,42
Washington,42
Georgia,39
Hawaii,37
Texas,36
California,35
Montana,30
Mississippi,28
District of Columbia,27
