Category: All categories

Region,Self harm: (2010)
South Dakota,100
Wyoming,94
Kansas,51
Oregon,43
Nebraska,40
Michigan,37
Idaho,36
West Virginia,36
New Hampshire,36
Rhode Island,35
Hawaii,34
Utah,33
Wisconsin,31
South Carolina,30
Missouri,28
Pennsylvania,28
Washington,27
Indiana,26
Alaska,26
Maryland,26
Connecticut,25
Vermont,24
Iowa,24
Massachusetts,24
Arizona,22
Ohio,22
New York,21
Minnesota,21
Maine,20
Mississippi,20
Colorado,19
Illinois,19
Oklahoma,17
New Jersey,17
Nevada,17
Florida,17
Texas,16
North Carolina,15
Kentucky,14
Tennessee,13
California,11
Louisiana,11
Virginia,10
Georgia,9
Alabama,7
District of Columbia,6
Delaware,
New Mexico,
Arkansas,
North Dakota,
Montana,
