Category: All categories

Region,Self harm: (2018)
South Dakota,100
New Hampshire,85
Kentucky,85
Vermont,82
Wyoming,81
Indiana,80
Idaho,78
Maine,77
Utah,77
Rhode Island,74
Washington,74
Nebraska,71
Kansas,70
Minnesota,70
Missouri,70
New Mexico,70
Montana,69
Oregon,68
Ohio,68
West Virginia,67
Iowa,67
North Dakota,67
Michigan,66
Wisconsin,66
Oklahoma,65
Pennsylvania,65
Alaska,65
Colorado,64
Arizona,63
Tennessee,61
Illinois,60
Arkansas,60
Alabama,59
Virginia,58
Massachusetts,57
North Carolina,55
Maryland,54
Nevada,53
Connecticut,51
Hawaii,51
New York,51
Delaware,49
Louisiana,49
Mississippi,47
Georgia,46
South Carolina,46
New Jersey,44
Texas,44
California,44
Florida,41
District of Columbia,35
