Category: All categories

Region,Obsessive compulsive personality disorder: (2013)
North Dakota,
Delaware,
South Dakota,
West Virginia,
Vermont,
Montana,
Maine,
Alabama,
Utah,
Mississippi,
Massachusetts,100
New Jersey,90
Pennsylvania,90
South Carolina,
North Carolina,80
Idaho,
Oklahoma,
Minnesota,80
Kansas,
Iowa,
Ohio,80
Alaska,
Missouri,70
New York,70
Oregon,
Michigan,70
Wisconsin,70
Virginia,70
Louisiana,
Kentucky,
Georgia,60
California,60
District of Columbia,
Texas,60
Connecticut,
Maryland,50
Illinois,50
Florida,50
Tennessee,
Arizona,50
Washington,50
Hawaii,
Indiana,50
Colorado,40
Nebraska,
Arkansas,
New Hampshire,
New Mexico,
Nevada,
Rhode Island,
Wyoming,
