Category: All categories

Region,Obsessive compulsive personality disorder: (2020)
Vermont,
Idaho,
North Dakota,
Montana,
Maryland,100
Kansas,
Nebraska,
West Virginia,
Rhode Island,
Minnesota,75
Arkansas,
Oklahoma,
Virginia,62
New York,62
Maine,
Connecticut,
Nevada,
New Hampshire,
Washington,62
Indiana,62
New Jersey,62
Georgia,62
Missouri,62
Utah,
Ohio,62
Arizona,62
California,62
Pennsylvania,50
Hawaii,
Alabama,
Kentucky,
Colorado,50
Illinois,50
Wisconsin,50
Michigan,50
North Carolina,50
Massachusetts,50
Florida,50
Texas,50
Oregon,
Iowa,
South Carolina,
Tennessee,
Louisiana,
Alaska,
District of Columbia,
Delaware,
Mississippi,
New Mexico,
South Dakota,
Wyoming,
