Category: All categories

Region,Obsessive compulsive personality disorder: (2018)
North Dakota,
Iowa,
Arkansas,
Rhode Island,
Virginia,100
New Mexico,
Indiana,87
New Hampshire,
Montana,
Oklahoma,
North Carolina,87
Missouri,87
New Jersey,87
Massachusetts,87
Pennsylvania,87
Minnesota,87
Michigan,87
New York,87
Maine,
Maryland,75
Washington,75
Kentucky,
Utah,
Arizona,75
Kansas,
Illinois,75
Louisiana,
Wisconsin,75
Alabama,
Connecticut,
Tennessee,
Ohio,62
Florida,62
Georgia,62
Mississippi,
Hawaii,
Nebraska,
South Carolina,
California,50
Colorado,50
Texas,50
District of Columbia,
West Virginia,
Oregon,
Nevada,
Alaska,
Delaware,
Idaho,
South Dakota,
Vermont,
Wyoming,
