Category: All categories

Region,Obsessive compulsive personality disorder: (2016)
Wyoming,
North Dakota,
Oregon,
Arkansas,
Delaware,
Minnesota,100
Wisconsin,100
Iowa,
Nebraska,
Virginia,87
Missouri,87
Nevada,
Kansas,
Utah,
West Virginia,
Maryland,75
Ohio,62
New Jersey,62
Alabama,
Kentucky,
Georgia,62
South Carolina,
Pennsylvania,62
Idaho,
Michigan,62
Louisiana,
Illinois,62
District of Columbia,
Massachusetts,50
New Mexico,
North Carolina,50
Arizona,50
Florida,50
Washington,50
Tennessee,
California,50
New York,50
Texas,50
Indiana,50
Mississippi,
Hawaii,
Oklahoma,
Connecticut,
Colorado,25
Alaska,
Maine,
Montana,
New Hampshire,
Rhode Island,
South Dakota,
Vermont,
