Category: All categories

Region,no friends: (2017)
Rhode Island,100
Hawaii,95
New Mexico,93
New Jersey,92
Alaska,91
Louisiana,91
Massachusetts,90
Mississippi,90
Nevada,88
Kentucky,87
California,87
Connecticut,87
Maine,86
District of Columbia,85
Texas,85
West Virginia,84
Alabama,84
North Carolina,84
Indiana,83
Iowa,82
Pennsylvania,82
Maryland,82
South Carolina,82
Michigan,81
Georgia,81
New Hampshire,80
New York,80
Virginia,80
Ohio,80
Missouri,79
Illinois,78
Colorado,78
Utah,78
Oklahoma,77
Nebraska,77
Wisconsin,77
Arkansas,76
Arizona,75
Minnesota,74
Tennessee,72
Kansas,72
Florida,70
Washington,70
Wyoming,69
North Dakota,68
South Dakota,68
Delaware,68
Oregon,67
Montana,66
Idaho,64
Vermont,57
