Category: All categories

Region,no friends: (2012)
Vermont,100
Wyoming,97
New Jersey,80
Hawaii,80
Delaware,78
Rhode Island,76
West Virginia,76
Maine,76
Indiana,75
Connecticut,74
Pennsylvania,74
South Carolina,73
New Hampshire,73
Massachusetts,71
Utah,69
Iowa,69
New Mexico,68
Michigan,68
Kentucky,68
Ohio,68
Nevada,67
Virginia,67
Kansas,66
Maryland,66
Nebraska,65
Arizona,64
Illinois,63
New York,63
Alabama,63
Wisconsin,63
Florida,63
Montana,62
North Dakota,62
North Carolina,61
California,61
Oregon,61
Missouri,60
Idaho,60
Arkansas,58
Georgia,58
Minnesota,56
Mississippi,56
Washington,56
Louisiana,54
Colorado,54
Texas,54
District of Columbia,52
Tennessee,52
South Dakota,51
Oklahoma,47
Alaska,44
