Category: All categories

Region,how to do better in school: (2012)
Delaware,
New Hampshire,
Alabama,100
Nevada,
Hawaii,
Maryland,83
Virginia,83
South Carolina,
Arkansas,
Indiana,66
Louisiana,66
Ohio,66
New York,66
Washington,66
North Carolina,50
Missouri,50
Georgia,50
Illinois,50
Colorado,50
Texas,50
Arizona,50
California,50
Minnesota,
Michigan,33
Florida,33
Tennessee,33
Oregon,
Massachusetts,
District of Columbia,
Pennsylvania,33
Connecticut,
New Jersey,16
Alaska,
Iowa,
Idaho,
Kansas,
Kentucky,
Maine,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Mexico,
Oklahoma,
Rhode Island,
South Dakota,
Utah,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
