Category: All categories

Region,how to do better in school: (2016)
Delaware,
South Dakota,
New Hampshire,
Indiana,100
Maine,
Mississippi,
Kentucky,
Wisconsin,
New Jersey,60
Nevada,
West Virginia,
Arizona,60
Colorado,60
Utah,
Illinois,60
Georgia,60
Florida,40
California,40
North Carolina,40
Minnesota,
Ohio,40
New York,40
Oregon,
Louisiana,40
Virginia,40
Washington,40
Nebraska,
South Carolina,
Alabama,40
Texas,40
Massachusetts,
Connecticut,
Oklahoma,20
Pennsylvania,20
District of Columbia,
Michigan,20
Tennessee,20
Maryland,<1
Alaska,
Arkansas,
Hawaii,
Iowa,
Idaho,
Kansas,
Missouri,
Montana,
North Dakota,
New Mexico,
Rhode Island,
Vermont,
Wyoming,
