Category: All categories

Region,how to do better in school: (2017)
Montana,
Vermont,
Mississippi,
North Dakota,
Utah,
Arkansas,
Rhode Island,
New Mexico,
New Hampshire,
Tennessee,100
Arizona,100
Texas,80
Oklahoma,80
Iowa,
New Jersey,60
Michigan,60
Maine,
Nebraska,
Wisconsin,
South Carolina,
Florida,60
California,60
Georgia,60
Connecticut,
Illinois,60
Missouri,60
Minnesota,
Kentucky,
Indiana,40
Nevada,
District of Columbia,
North Carolina,40
New York,40
Massachusetts,
Ohio,40
Louisiana,40
Pennsylvania,20
Colorado,20
Oregon,
Washington,20
Kansas,
Alabama,20
Virginia,20
Maryland,20
Alaska,
Delaware,
Hawaii,
Idaho,
South Dakota,
West Virginia,
Wyoming,
