Category: All categories

Region,queer: (2005)
Delaware,100
Vermont,99
Massachusetts,98
New York,92
New Hampshire,82
Maine,80
Rhode Island,76
Connecticut,74
Louisiana,73
Nevada,72
New Jersey,71
South Carolina,71
Maryland,71
Oregon,70
California,70
Idaho,67
Washington,66
Nebraska,66
Missouri,66
Pennsylvania,65
Wisconsin,65
Colorado,65
Illinois,64
Virginia,64
District of Columbia,64
Hawaii,62
Michigan,62
Kansas,62
Wyoming,61
Tennessee,60
Florida,59
Minnesota,59
Kentucky,58
Arizona,57
Indiana,57
North Carolina,56
Arkansas,56
New Mexico,56
Georgia,56
Texas,56
Ohio,55
North Dakota,55
Iowa,54
Utah,51
Alabama,43
West Virginia,41
Oklahoma,38
Mississippi,35
Alaska,32
South Dakota,32
Montana,17
