Category: All categories

Region,queer: (2016)
Oregon,100
Rhode Island,96
Vermont,90
New York,81
Maine,80
Washington,79
Massachusetts,76
California,74
District of Columbia,74
New Hampshire,72
Minnesota,71
Connecticut,65
Maryland,65
Alaska,64
New Mexico,62
West Virginia,61
Wisconsin,57
Colorado,57
Virginia,57
Pennsylvania,56
Illinois,56
Utah,56
Hawaii,56
Montana,55
New Jersey,55
Indiana,55
Louisiana,54
Missouri,54
Ohio,53
Iowa,53
Kentucky,52
Michigan,52
Arizona,52
Nevada,51
Nebraska,51
Oklahoma,51
North Carolina,51
Tennessee,50
Delaware,50
Kansas,50
North Dakota,49
South Dakota,49
Florida,48
Texas,47
Georgia,46
Arkansas,46
Idaho,46
Alabama,45
Wyoming,42
Mississippi,41
South Carolina,41
