Category: All categories

Region,queer: (2004)
Rhode Island,100
New York,84
South Dakota,78
Maine,75
Massachusetts,74
Connecticut,72
Wyoming,70
New Jersey,69
Iowa,68
Vermont,67
Washington,66
Minnesota,65
Maryland,65
California,64
Ohio,64
Illinois,62
Kansas,61
Indiana,60
District of Columbia,60
New Hampshire,59
Wisconsin,58
Virginia,56
Nebraska,56
Oregon,56
Michigan,55
Missouri,55
Texas,54
Florida,54
Pennsylvania,53
North Carolina,53
Georgia,52
Louisiana,50
Nevada,50
New Mexico,47
Oklahoma,47
South Carolina,47
Alabama,46
Kentucky,46
Tennessee,44
Idaho,43
Colorado,43
Delaware,43
Hawaii,43
Arizona,41
North Dakota,38
Arkansas,37
Alaska,37
Montana,34
Utah,32
Mississippi,30
West Virginia,30
