Category: All categories

Region,queer: (2008)
Oregon,100
Rhode Island,100
Massachusetts,91
New Hampshire,88
Maine,86
Mississippi,84
New York,81
Vermont,77
District of Columbia,77
Washington,76
Pennsylvania,74
Connecticut,74
Wisconsin,69
New Mexico,67
California,67
Maryland,65
Ohio,63
Kansas,63
New Jersey,61
Oklahoma,61
Illinois,61
Virginia,61
Texas,60
North Carolina,60
Indiana,59
Kentucky,59
South Dakota,59
Delaware,58
Missouri,58
Michigan,58
Iowa,58
Nebraska,57
Utah,57
Minnesota,57
West Virginia,56
Arizona,56
Louisiana,54
Colorado,54
Hawaii,52
Tennessee,52
Nevada,52
Florida,51
Georgia,51
Wyoming,50
Idaho,50
South Carolina,49
Arkansas,49
Alabama,47
Montana,46
Alaska,42
North Dakota,39
