Category: All categories

Region,queer: (2006)
New York,100
Massachusetts,97
Vermont,95
Rhode Island,93
Oregon,91
Washington,91
Maine,90
West Virginia,88
South Dakota,86
Louisiana,82
New Mexico,82
Iowa,81
California,81
Wisconsin,81
Pennsylvania,80
Nevada,77
Kentucky,77
Hawaii,76
Tennessee,75
Indiana,74
Kansas,73
Virginia,71
District of Columbia,70
New Jersey,70
Illinois,70
Maryland,69
Michigan,68
Minnesota,67
Ohio,65
North Carolina,64
New Hampshire,64
Arkansas,64
Missouri,64
Connecticut,63
Florida,62
Utah,61
Colorado,61
South Carolina,60
Arizona,58
Nebraska,57
Texas,57
Alabama,57
Georgia,57
Oklahoma,56
North Dakota,55
Alaska,54
Wyoming,46
Mississippi,43
Idaho,42
Delaware,36
Montana,
