Category: All categories

Region,time to die: (2008)
Montana,100
Rhode Island,53
Tennessee,34
South Dakota,31
North Dakota,29
Alaska,28
Hawaii,26
Kentucky,26
Kansas,23
West Virginia,23
Massachusetts,22
Michigan,21
New Jersey,21
Nebraska,20
Connecticut,20
Indiana,20
Arkansas,19
Vermont,19
Pennsylvania,17
Louisiana,17
Ohio,16
New Hampshire,15
District of Columbia,15
Colorado,13
Missouri,13
Maryland,13
Washington,13
North Carolina,13
Oregon,12
South Carolina,12
Minnesota,12
Illinois,12
New York,12
California,12
Virginia,11
Texas,11
Arizona,11
Oklahoma,11
Alabama,10
Utah,10
Wisconsin,9
Florida,9
Maine,9
Iowa,9
Georgia,9
Nevada,7
Delaware,
Idaho,
Mississippi,
New Mexico,
Wyoming,
