Category: All categories

Region,Borderline: (2019)
Wyoming,100
New Hampshire,97
Maine,95
Rhode Island,85
Montana,84
Utah,83
Vermont,83
Idaho,80
West Virginia,78
South Dakota,77
Oregon,77
North Dakota,76
Alaska,75
Pennsylvania,75
California,74
New York,73
Michigan,73
Massachusetts,72
Minnesota,72
Connecticut,71
Washington,70
Kansas,67
Indiana,67
Colorado,66
Delaware,65
Kentucky,65
Oklahoma,65
Ohio,65
Illinois,65
Missouri,63
Iowa,63
Wisconsin,62
Nebraska,62
Arkansas,61
Maryland,60
New Mexico,60
District of Columbia,60
Arizona,58
Louisiana,58
New Jersey,57
Alabama,57
Tennessee,57
Virginia,57
North Carolina,55
Florida,55
Mississippi,54
Nevada,54
South Carolina,53
Texas,52
Hawaii,51
Georgia,46
