Category: All categories

Region,Borderline: (2014)
New Hampshire,100
Maine,92
Vermont,88
Wyoming,87
Idaho,87
Minnesota,81
Arkansas,80
South Dakota,79
Utah,78
New Mexico,77
New York,76
Alaska,74
Colorado,74
Indiana,74
Massachusetts,74
Connecticut,73
Washington,71
Iowa,71
Rhode Island,70
Missouri,70
Delaware,70
Ohio,69
North Dakota,68
Maryland,68
Wisconsin,67
Nebraska,67
Pennsylvania,66
West Virginia,66
Kentucky,66
Hawaii,66
Mississippi,66
Michigan,65
Tennessee,65
Arizona,65
South Carolina,65
California,65
District of Columbia,64
Kansas,64
Nevada,64
New Jersey,63
Alabama,61
Montana,61
North Carolina,60
Illinois,59
Oklahoma,59
Louisiana,58
Texas,54
Georgia,49
Florida,49
Oregon,48
Virginia,46
