Category: All categories

Region,Borderline: (2006)
New Hampshire,100
New Mexico,97
South Dakota,95
Maine,89
North Dakota,87
Kentucky,84
Minnesota,81
Oregon,80
Ohio,76
Utah,76
Alaska,75
Pennsylvania,75
Massachusetts,74
Arkansas,73
Rhode Island,73
Colorado,73
Iowa,73
Vermont,72
Montana,72
Idaho,72
Washington,71
Kansas,71
Michigan,69
Hawaii,68
Connecticut,68
New York,67
Wisconsin,67
Missouri,64
Indiana,64
Tennessee,64
Illinois,61
Arizona,60
North Carolina,60
Nebraska,60
New Jersey,60
Georgia,60
California,59
Oklahoma,59
Delaware,57
Nevada,57
South Carolina,56
Virginia,56
Alabama,56
Maryland,55
West Virginia,54
Louisiana,52
Texas,51
Florida,48
Mississippi,47
District of Columbia,45
Wyoming,30
