Category: All categories

Region,Borderline: (2017)
New Hampshire,100
Vermont,97
Maine,96
Wyoming,95
Rhode Island,88
Utah,84
Alaska,80
Connecticut,79
Idaho,79
Montana,78
Oregon,77
Minnesota,77
West Virginia,77
New York,77
Massachusetts,75
Illinois,74
Pennsylvania,73
Iowa,72
South Dakota,72
Colorado,70
North Dakota,67
District of Columbia,67
New Mexico,67
Missouri,66
Ohio,65
California,65
Washington,65
Arkansas,65
Indiana,65
Kentucky,65
Arizona,64
Michigan,63
Maryland,63
Delaware,62
Tennessee,62
Wisconsin,62
Oklahoma,60
Nebraska,59
Kansas,59
New Jersey,59
Louisiana,59
Virginia,58
Mississippi,58
Nevada,57
South Carolina,56
Florida,56
North Carolina,55
Alabama,54
Hawaii,52
Texas,52
Georgia,47
