Category: All categories

Region,Borderline: (2013)
New Hampshire,100
Vermont,94
Maine,90
Rhode Island,81
Montana,77
West Virginia,75
Indiana,73
North Dakota,73
South Dakota,72
Delaware,71
Arkansas,71
New Mexico,71
Massachusetts,71
New York,70
Colorado,70
Minnesota,70
South Carolina,69
California,68
Connecticut,68
Alaska,68
Tennessee,67
Washington,67
Kentucky,67
Wisconsin,66
Missouri,66
Mississippi,66
Oklahoma,66
Utah,66
Pennsylvania,66
District of Columbia,65
Nebraska,65
Arizona,64
Idaho,63
Iowa,63
Illinois,63
Ohio,62
Maryland,62
New Jersey,62
Alabama,62
Virginia,61
Wyoming,60
Kansas,60
Louisiana,60
Nevada,59
North Carolina,59
Michigan,59
Florida,58
Hawaii,54
Oregon,54
Texas,52
Georgia,49
