Category: All categories

Region,Borderline: (2021)
Wyoming,100
Vermont,86
New Hampshire,76
Maine,74
North Dakota,73
Utah,68
West Virginia,66
Oregon,65
Idaho,65
Rhode Island,65
Connecticut,62
Ohio,62
Alaska,60
Montana,60
South Dakota,59
Minnesota,59
Massachusetts,59
Illinois,57
Oklahoma,57
Colorado,57
Kentucky,57
Missouri,57
Michigan,56
Iowa,56
Pennsylvania,55
Kansas,55
Indiana,53
New York,53
Arkansas,53
Virginia,52
California,52
Washington,51
Nebraska,51
Wisconsin,51
Arizona,50
Mississippi,50
New Mexico,50
Delaware,50
Louisiana,49
South Carolina,49
Maryland,48
District of Columbia,47
North Carolina,46
Tennessee,46
Texas,46
New Jersey,44
Florida,44
Alabama,43
Nevada,43
Hawaii,42
Georgia,41
