Category: All categories

Region,Borderline: (2007)
North Dakota,100
New Hampshire,93
Iowa,82
Indiana,82
Delaware,80
Oregon,79
Montana,79
Pennsylvania,76
Alabama,75
Utah,74
North Carolina,73
New York,73
West Virginia,73
Connecticut,73
Minnesota,73
South Carolina,73
Massachusetts,72
Nebraska,72
Hawaii,72
Missouri,71
Washington,71
Alaska,71
Michigan,71
Ohio,71
Idaho,70
Rhode Island,69
Arizona,68
Mississippi,67
New Mexico,67
Virginia,67
South Dakota,65
Maine,65
Colorado,65
Maryland,63
Illinois,62
New Jersey,61
Wisconsin,61
California,60
Tennessee,57
Louisiana,57
Arkansas,56
Florida,55
Oklahoma,55
Georgia,54
Vermont,54
District of Columbia,53
Texas,53
Nevada,48
Kentucky,47
Kansas,45
Wyoming,41
