Category: All categories

Region,cigarettes: (2004)
Michigan,100
Arkansas,90
Rhode Island,90
Maine,89
Pennsylvania,88
New Jersey,86
Illinois,83
New York,82
Oregon,79
Wisconsin,79
Connecticut,76
Vermont,76
Arizona,74
Indiana,71
Iowa,70
Ohio,69
Montana,69
Hawaii,68
Alaska,65
Missouri,63
Kentucky,62
District of Columbia,57
South Dakota,57
Nevada,57
Maryland,57
Nebraska,56
Massachusetts,56
Washington,56
Louisiana,55
Kansas,53
Minnesota,53
West Virginia,51
South Carolina,51
North Dakota,51
Alabama,50
Virginia,50
Mississippi,50
Georgia,49
Wyoming,48
Tennessee,48
Oklahoma,48
California,46
Florida,45
Texas,44
North Carolina,44
New Hampshire,43
Colorado,43
Delaware,37
Utah,36
New Mexico,34
Idaho,33
