Category: All categories

Region,cigarettes: (2015)
West Virginia,100
Michigan,92
Vermont,91
New Hampshire,91
South Carolina,90
Arkansas,89
Maine,89
Georgia,88
Kentucky,87
Pennsylvania,87
Missouri,86
Tennessee,86
Illinois,86
District of Columbia,85
Mississippi,85
Wisconsin,85
Ohio,85
New York,84
Nebraska,82
New Jersey,81
Rhode Island,81
Montana,81
Delaware,80
North Carolina,80
Indiana,77
Louisiana,76
Nevada,76
Wyoming,76
Iowa,75
Alabama,75
Massachusetts,75
Hawaii,73
Florida,73
Arizona,73
North Dakota,73
Connecticut,73
Oklahoma,72
Texas,71
Alaska,70
New Mexico,70
Washington,69
Minnesota,69
South Dakota,69
California,68
Idaho,66
Colorado,65
Kansas,63
Maryland,60
Utah,57
Oregon,51
Virginia,50
