Category: All categories

Region,cigarettes: (2013)
Oklahoma,100
Wyoming,99
Illinois,97
West Virginia,97
Minnesota,94
Pennsylvania,93
Kentucky,93
Missouri,93
Michigan,92
Arkansas,91
New York,90
New Jersey,89
Arizona,88
Florida,88
New Hampshire,87
New Mexico,87
Tennessee,86
Indiana,86
Rhode Island,86
Nevada,85
Mississippi,84
Georgia,84
Massachusetts,83
Texas,83
Maine,83
Wisconsin,82
Virginia,81
Alaska,81
Vermont,80
Nebraska,80
Kansas,80
Delaware,79
Washington,78
Louisiana,78
Ohio,77
Connecticut,76
Maryland,76
North Dakota,76
Montana,76
South Carolina,76
California,75
North Carolina,74
Colorado,73
Alabama,73
Iowa,72
Hawaii,70
Idaho,69
District of Columbia,68
South Dakota,68
Utah,62
Oregon,46
