Category: All categories

Region,cigarettes: (2018)
West Virginia,100
Kentucky,98
Maine,87
Pennsylvania,86
Indiana,86
Missouri,85
Ohio,84
Delaware,84
Oklahoma,83
Rhode Island,82
Wyoming,82
New York,81
New Hampshire,80
Illinois,80
North Carolina,79
Tennessee,79
Vermont,77
Minnesota,76
Michigan,76
Arkansas,76
Nevada,75
South Dakota,75
Montana,75
South Carolina,75
Nebraska,74
New Mexico,74
Oregon,74
New Jersey,73
Alaska,73
North Dakota,72
Colorado,72
Mississippi,71
Texas,71
Arizona,71
Kansas,71
Alabama,70
Wisconsin,70
Washington,70
Maryland,70
Massachusetts,69
Virginia,69
California,68
Idaho,67
Louisiana,67
Iowa,67
Georgia,67
Connecticut,66
District of Columbia,65
Hawaii,63
Florida,63
Utah,53
