Category: All categories

Region,cigarettes: (2020)
West Virginia,100
Missouri,98
Kentucky,95
Massachusetts,92
Pennsylvania,91
Delaware,91
Indiana,88
Ohio,87
New Hampshire,86
Rhode Island,84
Illinois,84
Vermont,84
Oregon,84
Louisiana,84
Maine,83
Nevada,83
Arizona,83
South Dakota,81
Nebraska,81
Michigan,80
Minnesota,80
Montana,80
Alabama,80
Tennessee,79
North Dakota,79
Texas,79
Arkansas,79
Florida,78
New Mexico,78
North Carolina,78
Oklahoma,78
Alaska,76
California,75
South Carolina,75
New Jersey,75
Kansas,75
Washington,74
Georgia,74
Maryland,74
Virginia,74
New York,73
Colorado,72
Iowa,72
District of Columbia,71
Mississippi,71
Wisconsin,71
Connecticut,71
Wyoming,70
Idaho,69
Hawaii,68
Utah,57
