Category: All categories

Region,cigarettes: (2011)
West Virginia,100
Pennsylvania,81
Vermont,81
Ohio,81
Rhode Island,80
Kentucky,80
New York,74
Maine,73
Kansas,72
Hawaii,72
New Jersey,72
Illinois,71
Michigan,71
Florida,71
Wyoming,71
Alaska,70
Alabama,69
Mississippi,68
New Hampshire,68
Connecticut,67
Oklahoma,67
North Carolina,67
Indiana,67
Arizona,67
South Carolina,66
Nevada,66
Massachusetts,65
Arkansas,65
Nebraska,65
New Mexico,65
South Dakota,65
Tennessee,64
Louisiana,63
District of Columbia,62
Missouri,62
Georgia,62
Iowa,62
Idaho,61
Delaware,60
Texas,59
Washington,59
Virginia,58
California,56
Montana,56
Wisconsin,56
North Dakota,53
Maryland,53
Minnesota,52
Colorado,51
Oregon,50
Utah,46
