Category: All categories

Region,cigarettes: (2008)
Rhode Island,100
Delaware,96
Vermont,94
New York,91
Maine,91
West Virginia,88
South Dakota,87
Wisconsin,85
Indiana,81
Pennsylvania,81
Connecticut,77
New Jersey,76
Kentucky,76
Massachusetts,74
Maryland,74
Alaska,74
Michigan,73
Arkansas,73
Arizona,73
New Hampshire,72
Ohio,72
Illinois,72
Iowa,71
Nevada,70
Kansas,70
Nebraska,69
Hawaii,68
New Mexico,67
Louisiana,66
Missouri,65
Mississippi,64
Tennessee,63
Oklahoma,63
District of Columbia,63
North Carolina,62
Wyoming,62
South Carolina,62
Minnesota,62
Alabama,61
Washington,60
Oregon,60
Colorado,58
Montana,57
Florida,55
Georgia,54
Texas,53
North Dakota,52
California,50
Virginia,48
Utah,43
Idaho,38
