Category: All categories

Region,cigarettes: (2006)
Rhode Island,100
Maine,92
Vermont,90
Pennsylvania,87
South Dakota,86
Indiana,79
Kentucky,78
Kansas,77
Michigan,76
Arizona,76
New York,75
New Jersey,74
Wisconsin,73
Illinois,73
North Dakota,71
Montana,71
Alaska,71
New Hampshire,70
Connecticut,70
Mississippi,68
Ohio,68
Iowa,68
Nevada,68
West Virginia,67
Massachusetts,64
Missouri,64
Arkansas,64
Oregon,64
Louisiana,64
South Carolina,64
Maryland,62
Hawaii,62
Oklahoma,62
Colorado,60
New Mexico,60
Minnesota,59
Alabama,59
North Carolina,58
Tennessee,57
Washington,57
Virginia,55
Texas,53
Delaware,53
Georgia,51
California,49
Florida,49
District of Columbia,45
Wyoming,37
Utah,37
Nebraska,36
Idaho,35
