Category: All categories

Region,Paranoid personality: (2021)
District of Columbia,
West Virginia,
Alaska,
Kentucky,100
Vermont,
Montana,
New Hampshire,
Alabama,88
Minnesota,77
Louisiana,72
Oregon,72
Virginia,72
Indiana,72
Massachusetts,72
Oklahoma,
Maryland,72
Kansas,
Michigan,66
Tennessee,66
Washington,66
Utah,66
South Carolina,66
Connecticut,66
Georgia,66
Arizona,61
Florida,61
Wyoming,
New Jersey,61
Delaware,
California,61
Iowa,61
Ohio,61
Missouri,61
Maine,
Nebraska,
Arkansas,
Rhode Island,
Nevada,55
North Carolina,55
Pennsylvania,55
Texas,55
New York,55
Illinois,55
Wisconsin,50
Colorado,50
Idaho,
Mississippi,
Hawaii,
New Mexico,
North Dakota,
South Dakota,
