Category: All categories

Region,Paranoid personality: (2013)
Montana,
Delaware,
West Virginia,
Mississippi,
North Dakota,
Maine,
Idaho,
Arkansas,
Indiana,100
Alabama,95
Wyoming,
Wisconsin,95
Alaska,
Connecticut,90
Pennsylvania,90
Utah,85
Rhode Island,
Louisiana,85
Ohio,80
Kentucky,80
Hawaii,
Virginia,80
South Carolina,76
South Dakota,
Kansas,
Oklahoma,
Tennessee,71
New Hampshire,
Missouri,71
Minnesota,71
New Jersey,71
Iowa,66
Maryland,66
Massachusetts,66
New Mexico,
New York,66
Michigan,66
District of Columbia,
North Carolina,61
Nebraska,
Arizona,61
Illinois,61
California,61
Florida,61
Colorado,57
Washington,57
Georgia,52
Nevada,52
Oregon,47
Texas,47
Vermont,
