Category: All categories

Region,Paranoid personality: (2008)
Delaware,
North Dakota,
New Mexico,
Idaho,
Nebraska,
Utah,100
Arkansas,
Iowa,75
Oklahoma,
Kentucky,71
Missouri,71
New Hampshire,
Indiana,67
Michigan,67
Louisiana,64
Illinois,64
Washington,60
South Carolina,60
Nevada,53
New York,53
Kansas,
Virginia,53
Pennsylvania,50
Georgia,42
Wisconsin,42
Maryland,42
New Jersey,39
Ohio,39
Oregon,39
Texas,39
District of Columbia,
Florida,35
Arizona,35
Alabama,35
Tennessee,32
California,32
Massachusetts,28
North Carolina,25
Minnesota,25
Connecticut,21
Colorado,10
Alaska,
Hawaii,
Maine,
Mississippi,
Montana,
Rhode Island,
South Dakota,
Vermont,
West Virginia,
Wyoming,
