Category: All categories

Region,tylenol: (2004)
North Dakota,100
Tennessee,90
Alaska,87
Rhode Island,86
Maine,84
Nebraska,82
North Carolina,82
New Hampshire,80
New Mexico,79
Louisiana,78
South Carolina,77
Wisconsin,75
Oklahoma,75
Oregon,74
Mississippi,71
Hawaii,70
Alabama,69
Pennsylvania,69
Florida,68
Illinois,68
New York,68
Missouri,67
New Jersey,67
Nevada,66
Kentucky,66
Arizona,65
Maryland,64
Georgia,64
District of Columbia,63
Arkansas,63
Virginia,62
Wyoming,62
Michigan,62
Massachusetts,61
Delaware,61
Indiana,61
Minnesota,61
Kansas,60
Ohio,59
Texas,59
Iowa,59
West Virginia,58
Washington,57
California,56
Utah,55
Connecticut,54
Colorado,52
Vermont,44
Montana,37
Idaho,35
South Dakota,
