Category: All categories

Region,tylenol: (2008)
North Dakota,100
Vermont,88
Oklahoma,85
Indiana,84
Kansas,84
Iowa,82
Maryland,82
Wyoming,81
Pennsylvania,81
Tennessee,81
South Dakota,79
Utah,79
Alabama,79
Delaware,79
Missouri,79
North Carolina,78
Massachusetts,77
South Carolina,77
Minnesota,76
Arkansas,75
Connecticut,75
New Jersey,74
Kentucky,74
Nebraska,74
Alaska,74
Rhode Island,72
Ohio,72
Wisconsin,71
Oregon,71
Louisiana,71
Michigan,71
New Mexico,70
Illinois,69
District of Columbia,68
Hawaii,67
Florida,67
Georgia,66
Mississippi,66
Arizona,66
Montana,66
Nevada,65
Colorado,65
Washington,65
New York,63
Texas,63
New Hampshire,62
California,58
Maine,57
Idaho,57
West Virginia,56
Virginia,53
