Category: All categories

Region,tylenol: (2017)
West Virginia,100
Kentucky,98
Oklahoma,98
Texas,94
Louisiana,92
Michigan,89
Tennessee,89
Arkansas,88
Connecticut,88
Alabama,87
Indiana,87
North Dakota,87
Maine,84
Pennsylvania,83
Mississippi,83
Illinois,83
South Dakota,83
Missouri,83
Ohio,83
Wyoming,82
Alaska,82
South Carolina,81
Delaware,81
Rhode Island,80
Maryland,80
Montana,80
Nebraska,80
Arizona,79
Minnesota,79
Utah,79
New Jersey,79
Idaho,78
Vermont,78
Wisconsin,78
Georgia,77
Hawaii,77
Virginia,76
Massachusetts,76
New Mexico,76
North Carolina,76
New York,75
Washington,74
Iowa,74
New Hampshire,74
Florida,72
Colorado,72
California,71
Oregon,70
District of Columbia,69
Kansas,68
Nevada,62
